0	数据分析师	大竹林	16:01发布	5k-10k	5k-10k 经验1-3年 / 不限	数据分析	“七险一金、年度旅游、弹性工作”	信息安全 / 天使轮 / 50-150人	梦之想科技
1	数据分析实习生	渝中区	13:39发布	2k-4k	2k-4k 经验在校/应届 / 本科	数据分析 统计	“五险一金 绩效奖金 弹性工作 补充医疗险”	企业服务 / 不需要融资 / 50-150人	嘉驰
2	数据分析主管	江北区	2020-12-22	10k-15k	10k-15k 经验3-5年 / 本科	可视化 数据分析 BI SQL	“大品牌好平台，领导nice，弹性工作制”	金融 / 未融资 / 50-150人	永辉金融
3	数据分析（运营支持）	渝北区	2020-12-15	8k-12k	8k-12k 经验3-5年 / 本科	数据分析 数据运营 SQL	“带薪年假；年度旅游；内部晋升”	社交 / 上市公司 / 2000人以上	腾讯
4	数据分析师（金融方向）	渝北区	2020-12-24	15k-25k	15k-25k 经验5-10年 / 本科	数据仓库 Spark MySQL	“发展前景、大牛团队、持牌机构”	金融,移动互联网 / 不需要融资 / 2000人以上	马上消费
5	环境数据分析工程师	渝北区	2020-08-05	5k-10k	5k-10k 经验在校/应届 / 硕士	大数据	“福利齐全，行业发展前景好”	企业服务,数据服务 / 未融资 / 50-150人	重庆广睿达科技有限公司
6	数据分析经理（经营业务方向）	渝中区	2020-08-25	10k-20k	10k-20k 经验3-5年 / 本科	数据分析 BI 可视化 模型建设 经营业务	“大平台、发展空间好、13薪”	消费生活,文娱丨内容 / 不需要融资 / 500-2000人	西西弗书店
7	数据分析师	大竹林	2020-11-23	10k-15k	10k-15k 经验3-5年 / 本科	大数据	“五险一金、带薪年假、节日福利、年终绩效”	不限 / 不需要融资 / 50-150人	旅游云
8	大数据分析师（项目方向）	江北区	2020-12-02	15k-20k	15k-20k 经验3-5年 / 本科	大数据 用户画像 Python Excel	“导师辅导,专业团队”	企业服务 / 不需要融资 / 500-2000人	美云智数
9	风控数据分析师	渝北区	2020-11-26	12k-16k	12k-16k 经验3-5年 / 本科	数据分析 SQL	“头部公司”	金融,移动互联网 / 不需要融资 / 2000人以上	马上消费
10	大数据分析工程师（安全态势感知方向）	人和	2020-10-19	8k-12k	8k-12k 经验1-3年 / 本科	数据挖掘 数据架构 数据仓库 数据分析	“六险一金、年底双薪、餐补、交通补贴”	移动互联网,数据服务 / 上市公司 / 500-2000人	初灵信息
11	大数据分析工程师(实习)	人和	2020-10-19	2k-3k	2k-3k 经验在校/应届 / 本科	Java Hadoop Spark SQLServer	“六险一金、年底双薪、餐补、交通补贴”	移动互联网,数据服务 / 上市公司 / 500-2000人	初灵信息
12	数据分析师 — 重庆	江北区	2020-10-14	6k-10k	6k-10k 经验3-5年 / 本科	扁平管理 弹性工作 就近租房补贴 六险一金	“六险一金,餐补”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
13	项目管理（数据分析） 实习生	汽博中心	2020-10-16	2k-3k	2k-3k 经验在校/应届 / 本科	大数据 助理	“星级餐厅 导师带徒计划”	移动互联网 / 不需要融资 / 500-2000人	赛迪信息
14	数据分析师实习生	大竹林	2020-12-04	2k-3k	2k-3k 经验不限 / 本科	策略设计	“弹性工作,扁平化管理”	金融 / 不需要融资 / 15-50人	重庆道微投资
15	投资数据分析师	大竹林	2020-12-04	5k-10k	5k-10k 经验不限 / 本科	基金 数据分析	“弹性工作,扁平化管理”	金融 / 不需要融资 / 15-50人	重庆道微投资
16	大客户销售	渝中区	17:28发布	6k-10k	6k-10k 经验不限 / 本科	销售 客户代表 区域销售	“五险一金、高薪”	企业服务 / A轮 / 150-500人	悦福享
17	大客户商务经理	渝中区	16:01发布	15k-25k	15k-25k 经验3-5年 / 本科	企业服务 客户代表 KA	“行业领头，高速成长”	移动互联网 / C轮 / 2000人以上	收钱吧
18	【腾讯直招】内容运营分析	人和	11:43发布	11k-20k	11k-20k 经验3-5年 / 本科	数据分析	“职业晋升 高薪福利”	社交 / 上市公司 / 2000人以上	腾讯
19	产品经理	渝北区	13:41发布	10k-15k	10k-15k 经验3-5年 / 本科	房产服务 需求分析 内容产品	“发展前景大”	房产家居 / 未融资 / 50-150人	柬房科技
20	落地配运营岗	九龙坡区	11:52发布	7k-14k	7k-14k 经验3-5年 / 大专	物流 运营	“业务发展上升期”	消费生活 / 上市公司 / 2000人以上	达达集团
21	海外发行渠道	渝北区	09:10发布	10k-20k	10k-20k 经验3-5年 / 本科	游戏 海外市场 市场 SEM SEO	“双休，绩效奖金，公积金，年终奖，出国游”	移动互联网 / 不需要融资 / 150-500人	万年历
22	Java架构师	江北区	09:11发布	10k-20k	10k-20k 经验5-10年 / 本科	Java 架构师	“五险一金,带薪年假,节日福利,周末双休”	数据服务 / 上市公司 / 500-2000人	广州南天
23	运营经理	渝中区	18:13发布	15k-20k	15k-20k 经验5-10年 / 本科	运营管理 活动运营 用户运营	“五险一金 节假日福利”	移动互联网,企业服务 / 不需要融资 / 15-50人	云杉智达科技
24	大数据开发工程师	渝中区	14:25发布	16k-30k	16k-30k 经验5-10年 / 本科	Hadoop 数仓架构	“五险一金，周末双休，节假日福利”	移动互联网,数据服务 / 不需要融资 / 50-150人	北京中位科技有限公司重庆分公司
25	社群运营主管	渝中区	18:13发布	8k-13k	8k-13k 经验3-5年 / 大专	用户运营 微信运营 社群运营	“大牛带队”	移动互联网,企业服务 / 不需要融资 / 15-50人	云杉智达科技
26	运维工程师	渝北区	15:08发布	7k-10k	7k-10k 经验3-5年 / 本科	Linux 自动运维 部署	“三个月年终奖，三个月绩效奖”	其他 / C轮 / 500-2000人	四川天兆猪业股份有限公司
27	游戏运营	渝北区	09:10发布	8k-15k	8k-15k 经验3-5年 / 本科	游戏 运营 海外运营	“双休，绩效奖金，公积金，年终奖，出国游”	移动互联网 / 不需要融资 / 150-500人	万年历
28	产品经理	南岸区	10:11发布	6k-12k	6k-12k 经验3-5年 / 本科	医疗健康 大数据	“周末双休、节日福利、五险一金”	移动互联网,医疗丨健康 / 未融资 / 150-500人	药智网
29	交互设计师	华新街	09:37发布	15k-30k	15k-30k 经验3-5年 / 本科	交互	“大平台 双休”	汽车丨出行 / 未融资 / 150-500人	长安汽车软件
30	大数据应用开发工程师	华新街	09:37发布	15k-30k	15k-30k 经验3-5年 / 本科	大数据	“大平台 双休”	汽车丨出行 / 未融资 / 150-500人	长安汽车软件
31	SEO	渝北区	13:41发布	8k-10k	8k-10k 经验3-5年 / 大专	移动互联网 房产服务 渠道 推广	“入职即享带薪年假、五险一金，发展空间大”	房产家居 / 未融资 / 50-150人	柬房科技
32	seo专员	南岸区	10:11发布	5k-8k	5k-8k 经验3-5年 / 本科	SEO	“周末双休、节日礼品、五险一金”	移动互联网,医疗丨健康 / 未融资 / 150-500人	药智网
33	区域校长	观音桥	10:17发布	20k-40k	20k-40k 经验5-10年 / 本科	教育	“薪酬2W-4W/月 五险一金 福利优渥”	教育 / 未融资 / 500-2000人	心田花开
34	大数据架构师	大坪	10:31发布	22k-30k	22k-30k 经验5-10年 / 本科	企业服务 大数据 技术管理 架构师	“外企大平台、福利待遇好”	金融 / 不需要融资 / 2000人以上	德勤
35	客服主管	渝中区	04:33发布	10k-20k	10k-20k 经验不限 / 大专	用户	“下午茶,健身瑜伽,六险一金,五险一金”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
36	web前端开发工程师	渝北区	09:37发布	8k-15k	8k-15k 经验不限 / 本科	云计算 大数据 前端开发 Web前端	“公司发展好；leader优秀；五险一金；弹性工作”	数据服务,人工智能 / 未融资 / 少于15人	重庆英科铸数网络科技有限公司
37	天猫/京东推广专员	大溪沟	08:54发布	8k-10k	8k-10k 经验1-3年 / 本科	电商	“带薪年假、节日福利、周末双休”	电商 / 不需要融资 / 150-500人	渝欧股份
38	天猫运营主管	渝北区	09:17发布	7k-11k	7k-11k 经验3-5年 / 本科	电商 新零售 部门管理 平台 领导力 创业	“五险一金 双休 早九晚六 全勤奖”	电商,医疗丨健康 / A轮 / 15-50人	燕亲辰lADY’Y
39	抖音信息流推广	渝北区	09:17发布	6k-8k	6k-8k 经验不限 / 本科	抖音 小红书 广告投放 信息流	“五险一金 周末双休”	电商,医疗丨健康 / A轮 / 15-50人	燕亲辰lADY’Y
40	人事专员	沙坪坝区	07:36发布	4k-5k	4k-5k 经验1-3年 / 不限	招聘 绩效管理 绩效考核 行政	“工作轻松 锻炼口才 高薪”	其他 / 未融资 / 15-50人	重庆嘉年华酒店管理有限公司
41	用户运营主管	渝中区	09:00发布	8k-10k	8k-10k 经验1-3年 / 大专	其他 运营	“五险一金,员工旅游,交通补贴”	其他 / 不需要融资 / 150-500人	51JOB-众心启航
42	新媒体运营经理	渝中区	1天前发布	10k-20k	10k-20k 经验3-5年 / 本科	教育 运营管理 新媒体运营	“在线教育，大牛带队，发展空间大，薪资有竞争力”	教育 / 未融资 / 15-50人	一者科技
43	新媒体运营	渝中区	1天前发布	7k-12k	7k-12k 经验1-3年 / 大专	教育	“在线教育，大牛带队，发展空间，薪资竞争力”	教育 / 未融资 / 15-50人	一者科技
44	直播运营	江北区	1天前发布	5k-10k	5k-10k 经验不限 / 不限	社交 直播	“主播星探，全力打造网红主播，为自己加薪”	文娱丨内容 / 未融资 / 150-500人	重庆渝万传媒集团有限公司
45	O2O运营经理	渝北区	2天前发布	12k-18k	12k-18k 经验5-10年 / 本科	O2O运营	“有期权 团队氛围好 弹性工作”	移动互联网,消费生活 / 天使轮 / 2000人以上	啄木鸟修家电
46	用户运营	渝北区	2天前发布	10k-13k	10k-13k 经验3-5年 / 本科	本地生活 用户增长 裂变拉新	“发展前景大 内部晋升通道”	移动互联网,消费生活 / 天使轮 / 2000人以上	啄木鸟修家电
47	高级大数据工程师	南岸区	3天前发布	10k-15k	10k-15k 经验3-5年 / 本科	Hadoop 数仓架构 数据仓库	“周末双休，项目奖金，餐补，话补”	电商,移动互联网 / 未融资 / 2000人以上	宗申创新平台
48	运营经理	南岸区	3天前发布	10k-15k	10k-15k 经验3-5年 / 不限	平台运营 工业互联网 运营模式 运营规划	“周末双休，项目奖金，餐补，话补”	电商,移动互联网 / 未融资 / 2000人以上	宗申创新平台
49	sem运营总监	渝北区	3天前发布	10k-20k	10k-20k 经验3-5年 / 本科	广告营销 移动互联网 SEM 网络推广 SEO 数据分析	“更多可能，优矩与你一同见证”	广告营销 / 不需要融资 / 15-50人	优矩互动
50	IT产品经理（内部系统方向）	大溪沟	3天前发布	12k-15k	12k-15k 经验3-5年 / 本科	电商 需求分析 数据分析 项目管理	“业务发展迅速、团队年轻、福利齐全”	移动互联网,电商 / 不需要融资 / 150-500人	重庆鸿巨网络科技有限公司
51	大数据开发工程师	江北区	3天前发布	10k-15k	10k-15k 经验1-3年 / 本科	大数据 数仓工程师	“团队融合较高，氛围好”	软件开发 / 未融资 / 少于15人	青竹数智
52	运营助理（重庆）	渝中区	3天前发布	10k-15k	10k-15k 经验不限 / 本科	活动运营 运营	“免费三餐 弹性工作时间”	工具 / D轮及以上 / 2000人以上	作业帮
53	项目经理	观音桥	3天前发布	5k-10k	5k-10k 经验3-5年 / 本科	项目管理	“团队融合较高，氛围好”	软件开发 / 未融资 / 少于15人	青竹数智
54	金融理财顾问（重庆）	渝中区	2020-12-24	15k-30k	15k-30k 经验1-3年 / 大专	云计算 大数据 销售 客户代表	“项目奖金 年终13薪 发展好 试用期五险一金”	软件开发 / 不需要融资 / 150-500人	安迈云
55	风险信用政策	江北区	2020-12-22	11k-18k	11k-18k 经验5-10年 / 本科	风控 风险分析 信用管理	“五险一金；互联网金融；行业头企；广阔平台；”	金融 / 未融资 / 50-150人	永辉金融
56	商务合作经理	渝北区	2020-12-23	8k-13k	8k-13k 经验1-3年 / 本科	渠道 BD 商务 销售	“六险一金，双休”	房产家居 / 上市公司 / 2000人以上	贝壳
57	etl开发工程师	九龙坡区	2020-12-23	8k-15k	8k-15k 经验3-5年 / 本科	ETL	“专业能力提升快”	电商,企业服务 / 未融资 / 50-150人	EVGET
58	新媒体运营投放	双凤桥	2020-12-23	4k-7k	4k-7k 经验1年以下 / 大专	数据运营 数据库	“五险一金 年终奖 下午茶 生日福利”	移动互联网,文娱丨内容 / 天使轮 / 15-50人	紫萝科技
59	风险平台经理	五里店	2020-12-21	20k-30k	20k-30k 经验5-10年 / 本科	互联网金融 信贷管理 数据分析	“大厂背景、项目成长”	硬件 / 上市公司 / 2000人以上	小米集团
60	新媒体运营推广	双凤桥	2020-12-23	4k-8k	4k-8k 经验不限 / 大专	运营 APP推广 内容运营	“五险一金 年终奖 下午茶 生日福利”	移动互联网,文娱丨内容 / 天使轮 / 15-50人	紫萝科技
61	海外市场运营	汽博中心	2020-12-22	8k-12k	8k-12k 经验1-3年 / 本科	游戏 移动互联网 用户增长 用户运营 产品运营 APP运营	“海外市场运营”	游戏,软件开发 / 未融资 / 15-50人	米里米里
62	商家运营-重庆	渝中区	2020-12-24	8k-10k	8k-10k 经验1-3年 / 大专	本地生活 运营	“美业+互联网”	移动互联网 / D轮及以上 / 500-2000人	河狸家
63	运营助理专员	渝北区	2020-12-22	4k-6k	4k-6k 经验1年以下 / 本科	用户增长 用户留存 裂变拉新 转化变现	“五险一金，交通补贴”	电商,区块链 / 未融资 / 50-150人	悦智峰
64	直播运营合伙人	沙坪坝区	2020-12-22	8k-10k	8k-10k 经验3-5年 / 大专	直播运营 合伙人 经纪人	“只要你肯拼，收入非常可观”	电商 / 未融资 / 少于15人	靓麦文化传媒
65	运营助理/专员	汽博中心	2020-12-22	4k-6k	4k-6k 经验1年以下 / 大专	电商 用户增长 转化变现 内容运营 用户运营	“五险一金，交通补助”	电商,区块链 / 未融资 / 50-150人	悦智峰
66	算法工程师（搜索/推荐）	渝北区	2020-12-16	12k-20k	12k-20k 经验3-5年 / 硕士	数据挖掘 Python Java	“五险一金、发展前景大”	移动互联网,游戏 / 上市公司 / 2000人以上	完美世界
67	人事专员	南岸区	2020-12-22	5k-7k	5k-7k 经验1-3年 / 本科	大数据 绩效管理 招聘 薪酬福利 员工培训	“五险一金、双休”	软件开发 / 未融资 / 150-500人	固守远望
68	大数据开发工程师	渝北区	2020-12-16	15k-25k	15k-25k 经验3-5年 / 本科	Hadoop Spark Java Python	“发展前景好 超长带薪年假 绩效奖金”	移动互联网,数据服务 / 上市公司 / 2000人以上	联想集团
69	网优产品开发工程师	渝北区	2020-12-09	15k-20k	15k-20k 经验3-5年 / 本科	网络优化 HTML Javascript Web前端 SQL	“发展前景好 超长带薪年假 绩效奖金”	移动互联网,数据服务 / 上市公司 / 2000人以上	联想集团
70	产品经理	冉家坝	2020-12-23	7k-14k	7k-14k 经验1-3年 / 本科	移动互联网 用户研究	“五险一金,国外旅游,年终奖，项目分红”	移动互联网 / 不需要融资 / 150-500人	九吨科技
71	大数据智能化精英管培生	渝北区	2020-12-20	6k-12k	6k-12k 经验不限 / 本科	大数据 人工智能 算法工程师 数据分析 产品经理 软件开发	“留学生实习，广阔的发展空间，开放的企业文化”	移动互联网,人工智能 / 不需要融资 / 50-150人	重庆仙桃教育科技有限公司
72	算法工程师	渝北区	2020-11-05	8k-16k	8k-16k 经验不限 / 硕士	深度学习	“大型央企 五险两金 五星食堂 三星住宿”	其他 / 不需要融资 / 2000人以上	中冶赛迪研发中心
73	跨境电商运营（阿里巴巴）	西永	2020-12-24	4k-8k	4k-8k 经验1-3年 / 本科	阿里巴巴国际站 C端运营 跨境电商	“双休、福利好、氛围佳、成长空间大”	企业服务,其他 / 未融资 / 15-50人	重庆成保户外用品有限...
74	数据开发工程师	渝北区	2020-12-23	6k-9k	6k-9k 经验1-3年 / 本科	数据库开发 MySQL	“团队和谐、发展前景广”	移动互联网,数据服务 / 未融资 / 150-500人	锐云科技
75	今日头条/广点通优化师	冉家坝	2020-12-23	8k-10k	8k-10k 经验1-3年 / 本科	移动互联网 推广 APP推广 应用市场 渠道推广	“五险一金，公费旅游，带薪休假，年终奖金”	移动互联网 / 不需要融资 / 150-500人	九吨科技
76	广告优化师	渝北区	2020-12-02	6k-11k	6k-11k 经验1-3年 / 本科	广告营销 AE 广告协调 媒介	“腾讯控股,发展空间大,福利待遇好,领导好”	移动互联网 / 不需要融资 / 50-150人	腾讯·大渝网
77	房产评估师	渝中区	2020-12-12	9k-15k	9k-15k 经验不限 / 大专	房产服务	“福利待遇从优，精英带队”	房产家居,其他 / 不需要融资 / 15-50人	前海中威物业管理
78	产品经理	无	2020-12-19	6k-10k	6k-10k 经验1-3年 / 本科	交互设计 需求分折 原型设计 数据分析 产品设计 Axure	“团队和谐，业务发展潜力大，个人成长性高！”	软件开发 / B轮 / 50-150人	肄黑钾
79	产品经理	渝北区	2020-12-17	7k-13k	7k-13k 经验3-5年 / 本科	产品设计	“五险一金,地铁附近,周末双休,入职体检”	移动互联网,数据服务 / 上市公司 / 500-2000人	网达软件
80	运营实习生	江北区	2020-12-17	2k-3k	2k-3k 经验在校/应届 / 本科	运营 APP推广 用户增长 用户留存	“来自阿里，Uber，字节等互联网巨头的小伙伴”	软件开发 / 未融资 / 少于15人	动量平衡
81	新媒体运营	万州区	2020-10-16	8k-15k	8k-15k 经验1-3年 / 本科	运营 SEM SEO SAO	“福利多 周末双休”	数据服务 / 未融资 / 150-500人	睿道
82	海外运营	汽博中心	2020-12-16	5k-10k	5k-10k 经验不限 / 本科	facebook youtube 印度 区块链	“出海团队，蓝海产品”	游戏,软件开发 / 未融资 / 15-50人	米里米里
83	数据仓库工程师	渝中区	2020-11-29	6k-12k	6k-12k 经验3-5年 / 大专	大数据 Hadoop 数据挖掘 数据分析 MySQL	“项目奖金，年底奖励，股权激励”	其他 / 未融资 / 15-50人	重庆众意网科技有限公司
84	量化IT工程师	渝中区	2020-11-25	10k-15k	10k-15k 经验1-3年 / 硕士	C C++ 后端	“五险一金，晋升空间大”	企业服务,其他 / 未融资 / 50-150人	联高优选
85	产品经理–开放平台方向	渝北区	2020-12-14	10k-20k	10k-20k 经验3-5年 / 本科	产品设计	“央企,五险两金”	移动互联网 / 不需要融资 / 500-2000人	赛迪信息
86	销售经理（重庆）(J10164)	二郎	2020-11-19	15k-25k	15k-25k 经验1-3年 / 本科	销售	“高科技公司”	移动互联网 / B轮 / 150-500人	创新奇智
87	省业务规划(J201127017)	渝中区	2020-12-18	15k-30k	15k-30k 经验5-10年 / 本科	滴滴	“成长空间”	汽车丨出行 / 不需要融资 / 2000人以上	滴滴
88	产品经理（业务架构师）	渝中区	2020-11-12	12k-20k	12k-20k 经验5-10年 / 大专	产品设计 产品策划 用户研究 需求分析	“大平台 发展迅速 团队和谐”	消费生活,文娱丨内容 / 不需要融资 / 500-2000人	西西弗书店
89	产品经理（重庆）	渝北区	2020-11-06	8k-15k	8k-15k 经验1-3年 / 本科	在线教育产品 B端产品 APP产品	“五险一金，带薪年假，定期体检，绩效奖金”	企业服务 不限 / 不需要融资 / 150-500人	清控科创科服
90	产品经理	汽博中心	2020-11-16	14k-21k	14k-21k 经验3-5年 / 本科	跨境电商	“13薪，带薪年假等”	电商,游戏 / 不需要融资 / 15-50人	菩提心科技
91	渠道销售经理	江北区	2020-09-22	8k-15k	8k-15k 经验3-5年 / 本科	新零售 电商 渠道分销 大客户销售 代理商 区域销售	“公司快速上升期”	移动互联网 / 天使轮 / 15-50人	老和山
92	产品经理	渝北区	2020-12-17	10k-15k	10k-15k 经验3-5年 / 本科	用户研究 需求分析 原型设计	“行业独角兽”	房产家居 / 未融资 / 500-2000人	商合
93	中级产品经理	大竹林	2020-11-23	8k-12k	8k-12k 经验3-5年 / 本科	互联网 用户研究 需求分析 产品设计	“带薪年假、提供工作餐、周末双休、节日福利”	不限 / 不需要融资 / 50-150人	旅游云
94	高级游戏运营	龙溪	2020-07-02	10k-20k	10k-20k 经验3-5年 / 本科	活动策划 用户运营 内容运营 活动运营	“年终奖、项目奖金、晋升空间”	移动互联网,游戏 / 上市公司 / 150-500人	迅游科技
95	大数据开发	渝北区	2020-12-15	10k-15k	10k-15k 经验3-5年 / 本科	Hadoop Hive hbase	“股权激励”	信息安全,数据服务 / 不需要融资 / 150-500人	申盾通信
96	高级客户执行SAE(J10648)	江北区	2020-10-22	6k-9k	6k-9k 经验1-3年 / 本科	广告营销 AE AM 媒体投放 品牌传播	“五险一金，绩效奖金，年终奖，扁平管理”	广告营销 / 上市公司 / 500-2000人	MediaV
97	裂变专员 合伙人	南岸区	2020-07-13	10k-16k	10k-16k 经验3-5年 / 本科	社交 运营 网站推广 裂变拉新 用户增长	“用户裂变”	文娱丨内容 / 未融资 / 少于15人	亲觅君
98	产品经理/高级产品经理	渝北区	2020-09-02	15k-30k	15k-30k 经验3-5年 / 本科	大数据 工具软件 人工智能 智能硬件 商业产品 SaaS	“全新一代智能政务软件产品设计”	移动互联网,其他 / 未融资 / 50-150人	普天永惠
99	研发工程师	北碚区	2020-11-04	8k-15k	8k-15k 经验1-3年 / 硕士	后端	“带薪年假，交通补助，五险一金，发展空间大”	数据服务 / 未融资 / 50-150人	工业大数据创新中心
